YEAR,TOTAL,AGE-15.To.29,AGE-30.To.34,AGE-35.To.39,AGE-40.To.45,AGE-45.To.49,AGE-50.To.54,AGE-55.To.59,AGE-60.To.64,AGE-65UP
82,128,90,14,9,6,3,3,2,1,0
83,143,97,18,10,8,4,3,2,1,0
84,164,107,20,14,10,6,4,2,1,0
85,242,141,31,24,20,12,7,5,2,0
86,257,142,32,27,22,16,10,6,2,0
87,256,144,31,26,22,17,9,5,2,0
88,281,148,36,31,26,21,11,6,2,0
89,291,148,38,34,28,22,12,7,2,0
90,452,208,62,57,48,40,23,10,4,0
91,515,238,69,59,58,47,29,11,4,0
92,503,224,61,55,57,50,34,15,7,0
93,454,208,56,47,48,42,34,13,6,0
94,429,204,53,43,42,39,29,13,5,1
95,410,201,56,43,37,31,26,12,4,0
96,417,199,59,42,43,34,25,12,3,0
97,449,215,61,45,40,39,29,16,4,0
98,640,271,95,70,64,61,47,26,6,0
99,577,246,87,61,57,57,40,24,5,0
100,493,221,74,50,46,44,32,20,6,0
101,481,221,74,52,42,38,29,18,7,0
102,477,223,72,53,38,38,28,19,6,0
103,456,209,69,52,39,35,27,19,6,0
104,440,201,67,52,35,35,27,17,6,0
105,458,207,61,58,40,37,28,18,9,0
106,444,206,54,56,41,34,27,16,10,0
